"","year","CO2","CH4","NO2","SGG","site_number","latitude","longitude","location_name","country","state","count_max","max","count_min","min","mean"
"133",1912,298.89074,0.92926,0.28156,3.7e-05,"029063",-17.69,141.07,"NORMANTON","Australia","Queensland",362,32.9102209944751,366,21.5256830601093,27.2179520272922
"134",1912,298.89074,0.92926,0.28156,3.7e-05,"015590",-23.8,133.89,"ALICE","Australia","Northern Territory",365,27.66,365,11.6049315068493,19.6324657534247
"135",1912,298.89074,0.92926,0.28156,3.7e-05,"030124",-18.3,143.53,"GEORGETOWN","Australia","Queensland",362,32.5591160220994,366,18.275956284153,25.4175361531262
"136",1912,298.89074,0.92926,0.28156,3.7e-05,"003003",-17.95,122.24,"BROOME","Australia","Western Australia",362,31.5754143646409,366,20.0967213114754,25.8360678380581
"137",1912,298.89074,0.92926,0.28156,3.7e-05,"033119",-21.12,149.22,"MACKAY","Australia","Queensland",358,25.6385474860335,359,18.1841225626741,21.9113350243538
"138",1912,298.89074,0.92926,0.28156,3.7e-05,"034084",-20.05,146.27,"CHARTERS","Australia","Queensland",356,30.4794943820225,333,16.3486486486486,23.4140715153356
"139",1912,298.89074,0.92926,0.28156,3.7e-05,"084016",-37.57,149.92,"GABO","Australia","Victoria",364,18.4282967032967,366,11.9150273224044,15.1716620128505
"140",1912,298.89074,0.92926,0.28156,3.7e-05,"004106",-21.18,119.75,"MARBLE","Australia","Western Australia",366,35.0232240437158,366,19.207650273224,27.1154371584699
"141",1912,298.89074,0.92926,0.28156,3.7e-05,"090015",-38.86,143.51,"CAPE","Australia","Victoria",366,16.7092896174863,366,10.546174863388,13.6277322404372
"142",1912,298.89074,0.92926,0.28156,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",331,20.2658610271903,332,10.8295180722892,15.5476895497397
"143",1912,298.89074,0.92926,0.28156,3.7e-05,"039128",-24.91,152.32,"BUNDABERG","Australia","Queensland",365,27.1572602739726,363,14.8936639118457,21.0254620929092
"144",1912,298.89074,0.92926,0.28156,3.7e-05,"009789",-33.83,121.89,"ESPERANCE","Australia","Western Australia",346,21.7251445086705,352,11.4457386363636,16.5854415725171
"145",1912,298.89074,0.92926,0.28156,3.7e-05,"018192",-34.6,135.88,"PORT","Australia","South Australia",358,20.9075418994413,357,11.5218487394958,16.2146953194686
"146",1912,298.89074,0.92926,0.28156,3.7e-05,"063005",-33.43,149.56,"BATHURST","Australia","New South Wales",346,19.7089595375723,350,5.51857142857143,12.6137654830718
"147",1912,298.89074,0.92926,0.28156,3.7e-05,"048027",-31.48,145.83,"COBAR","Australia","New South Wales",366,25.1860655737705,364,12.7197802197802,18.9529228967754
"148",1912,298.89074,0.92926,0.28156,3.7e-05,"028004",-16,144.08,"PALMERVILLE","Australia","Queensland",359,33.8066852367688,331,17.0791540785498,25.4429196576593
"149",1912,298.89074,0.92926,0.28156,3.7e-05,"029077",-17.75,139.54,"BURKETOWN","Australia","Queensland",365,32.8884931506849,366,19.4303278688525,26.1594105097687
"150",1912,298.89074,0.92926,0.28156,3.7e-05,"015135",-19.64,134.18,"TENNANT","Australia","Northern Territory",356,31.7252808988764,356,20.4157303370787,26.0705056179775
"151",1912,298.89074,0.92926,0.28156,3.7e-05,"040043",-27.03,153.47,"CAPE","Australia","Queensland",362,23.7756906077348,366,17.5101092896175,20.6428999486761
"152",1912,298.89074,0.92926,0.28156,3.7e-05,"091293",-41.05,146.79,"LOW","Australia","Tasmania",366,15.774043715847,366,9.72704918032787,12.7505464480874
"153",1912,298.89074,0.92926,0.28156,3.7e-05,"010916",-33.69,117.61,"KATANNING","Australia","Western Australia",364,22.3912087912088,366,8.41311475409836,15.4021617726536
"154",1912,298.89074,0.92926,0.28156,3.7e-05,"009021",-31.93,115.98,"PERTH","Australia","Western Australia",366,23.7693989071038,366,11.0732240437158,17.4213114754098
"155",1912,298.89074,0.92926,0.28156,3.7e-05,"008315",-28.8,114.7,"GERALDTON","Australia","Western Australia",366,24.6571038251366,360,12.9136111111111,18.7853574681239
"156",1912,298.89074,0.92926,0.28156,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",356,23.9393258426966,344,15.0531976744186,19.4962617585576
"157",1912,298.89074,0.92926,0.28156,3.7e-05,"052088",-30.04,148.12,"WALGETT","Australia","New South Wales",365,27.5882191780822,365,10.2506849315069,18.9194520547945
"158",1912,298.89074,0.92926,0.28156,3.7e-05,"060139",-31.43,152.87,"PORT","Australia","New South Wales",365,22.6802739726027,366,10.4139344262295,16.5471041994161
"159",1912,298.89074,0.92926,0.28156,3.7e-05,"044021",-26.41,146.26,"CHARLEVILLE","Australia","Queensland",334,28.1589820359281,366,11.9584699453552,20.0587259906417
"160",1912,298.89074,0.92926,0.28156,3.7e-05,"072150",-35.16,147.46,"WAGGA","Australia","New South Wales",352,22.8372159090909,361,7.6409972299169,15.2391065695039
