"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"100",1881,289.0916,0.8384,0.27616,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.55424657534247,0,50
"101",1881,289.0916,0.8384,0.27616,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.6386301369863,0,30
"102",1881,289.0916,0.8384,0.27616,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,1.97835616438356,0,59.7
"103",1881,289.0916,0.8384,0.27616,3.7e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",365,1.29972602739726,0,26.7
"104",1882,289.2797,0.8403,0.27639,3.7e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",365,1.42684931506849,0,40.4
"105",1882,289.2797,0.8403,0.27639,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,2.3772602739726,0,87.4
"106",1882,289.2797,0.8403,0.27639,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.39972602739726,0,58.9
"107",1882,289.2797,0.8403,0.27639,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.643287671232877,0,19.8
"108",1882,289.2797,0.8403,0.27639,3.7e-05,"075050",-33.61,146.32,"NARADHAN","Australia","New South Wales",365,1.18493150684932,0,34.3
"109",1882,289.2797,0.8403,0.27639,3.7e-05,"099001",-39.48,147.32,"DEAL","Australia","Tasmania",365,1.64191780821918,0,34.3
"110",1882,289.2797,0.8403,0.27639,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.05616438356164,0,63.5
"111",1882,289.2797,0.8403,0.27639,3.7e-05,"054003",-30.38,150.61,"BARRABA","Australia","New South Wales",365,2.29753424657534,0,62.7
"112",1882,289.2797,0.8403,0.27639,3.7e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",365,1.94438356164384,0,61.5
"113",1882,289.2797,0.8403,0.27639,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.4241095890411,0,49.5
"114",1882,289.2797,0.8403,0.27639,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",365,3.11123287671233,0,91.4
